open,high,low,close,volume
6280.0,6290.0,6270.0,6280.0,414682
6280.0,6280.0,6270.0,6280.0,409489
6280.0,6280.0,6270.0,6280.0,415088
6280.0,6280.0,6270.0,6280.0,412927
6280.0,6280.0,6260.0,6270.0,415176
6270.0,6280.0,6260.0,6270.0,437918
6270.0,6280.0,6260.0,6270.0,453155
6270.0,6270.0,6260.0,6260.0,432182
6260.0,6270.0,6260.0,6260.0,429780
6260.0,6270.0,6260.0,6270.0,419782
6270.0,6260.0,6260.0,6260.0,407223
6260.0,6270.0,6260.0,6260.0,435080
6260.0,6270.0,6260.0,6260.0,445759
6260.0,6270.0,6260.0,6270.0,413872
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6260.0,6260.0,447636
6260.0,6270.0,6260.0,6270.0,400592
6270.0,6280.0,6260.0,6260.0,442395
6260.0,6270.0,6250.0,6250.0,429162
6250.0,6260.0,6250.0,6250.0,417750
6250.0,6270.0,6250.0,6250.0,410004
6250.0,6270.0,6250.0,6260.0,444060
6260.0,6270.0,6260.0,6260.0,405853
6260.0,6260.0,6250.0,6260.0,401722
6260.0,6260.0,6250.0,6260.0,402288
6260.0,6260.0,6250.0,6260.0,481386
6260.0,6270.0,6260.0,6260.0,439329
6260.0,6250.0,6250.0,6250.0,458432
6250.0,6260.0,6250.0,6250.0,424610
6250.0,6260.0,6240.0,6240.0,401168
6240.0,6250.0,6240.0,6250.0,402856
6250.0,6250.0,6240.0,6240.0,409865
6240.0,6250.0,6240.0,6250.0,423646
6250.0,6250.0,6240.0,6240.0,462763
6240.0,6250.0,6240.0,6240.0,411421
6240.0,6250.0,6240.0,6250.0,406430
6250.0,6250.0,6240.0,6250.0,407041
6250.0,6260.0,6250.0,6250.0,429060
6250.0,6260.0,6240.0,6240.0,412418
6240.0,6250.0,6240.0,6240.0,415142
6240.0,6250.0,6240.0,6250.0,404901
6250.0,6250.0,6240.0,6250.0,400720
6250.0,6250.0,6240.0,6240.0,404158
6240.0,6250.0,6240.0,6240.0,425186
6240.0,6250.0,6240.0,6250.0,468633
6250.0,6250.0,6250.0,6250.0,400000
6250.0,6260.0,6250.0,6260.0,416460
6260.0,6260.0,6260.0,6260.0,414418
6260.0,6260.0,6250.0,6260.0,426823
6260.0,6260.0,6260.0,6260.0,400000
6260.0,6260.0,6260.0,6260.0,400000
6260.0,6270.0,6260.0,6270.0,424394
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6270.0,6270.0,6270.0,425000
6270.0,6280.0,6270.0,6270.0,432426
6270.0,6280.0,6270.0,6270.0,427871
6270.0,6270.0,6270.0,6270.0,400000
6270.0,6280.0,6270.0,6280.0,404648
6280.0,6280.0,6270.0,6270.0,425730
6270.0,6280.0,6270.0,6270.0,418419
6270.0,6280.0,6270.0,6280.0,494161
6280.0,6280.0,6270.0,6270.0,415084
6270.0,6280.0,6260.0,6260.0,418545
6260.0,6270.0,6260.0,6270.0,435684
6270.0,6270.0,6270.0,6270.0,407509
6270.0,6270.0,6260.0,6260.0,411721
6260.0,6270.0,6260.0,6270.0,437637
6270.0,6270.0,6260.0,6270.0,500345
6270.0,6280.0,6260.0,6270.0,430765
6270.0,6270.0,6260.0,6260.0,400000
6260.0,6270.0,6260.0,6260.0,433894
6260.0,6260.0,6260.0,6260.0,424049
6260.0,6260.0,6250.0,6250.0,400000
6250.0,6260.0,6250.0,6250.0,436305
6250.0,6260.0,6250.0,6250.0,400900
6250.0,6270.0,6250.0,6260.0,406571
6260.0,6260.0,6250.0,6260.0,402315
6260.0,6260.0,6250.0,6260.0,514667
6260.0,6270.0,6260.0,6260.0,489191
6260.0,6270.0,6260.0,6270.0,407591
6270.0,6280.0,6260.0,6280.0,401536
6280.0,6280.0,6270.0,6280.0,464098
6280.0,6280.0,6270.0,6280.0,414155
6280.0,6280.0,6270.0,6280.0,455679
